# AT32F435/437 — Function to Pin Mapping (IOMUX)
# Source: AT32F435/437 Reference Manual (per-pin ground truth) + INAV timer_def_at32f43x.h
# MUX number = GPIO_MUX_n value for gpio_pin_mux_config()

Function                                 Pins
EVENTOUT                                 PA0(MUX15), PA1(MUX15), PA2(MUX15), PA3(MUX15), PA4(MUX15), PA5(MUX15), PA6(MUX15), PA7(MUX15), PA8(MUX15), PA9(MUX15), PA10(MUX15), PA11(MUX15), PA12(MUX15), PA13(MUX15), PA14(MUX15), PA15(MUX15), PB0(MUX15), PB1(MUX15), PB2(MUX15), PB3(MUX15), PB4(MUX15), PB5(MUX15), PB6(MUX15), PB7(MUX15), PB8(MUX15), PB9(MUX15), PB10(MUX15), PB11(MUX15), PB12(MUX15), PB13(MUX15), PB14(MUX15), PB15(MUX15), PC0(MUX15), PC1(MUX15), PC2(MUX15), PC3(MUX15), PC4(MUX15), PC5(MUX15), PC6(MUX15), PC7(MUX15), PC8(MUX15), PC9(MUX15), PC10(MUX15), PC11(MUX15), PC12(MUX15), PC13(MUX15), PC14(MUX15), PC15(MUX15), PD0(MUX15), PD1(MUX15), PD2(MUX15), PD3(MUX15), PD4(MUX15), PD5(MUX15), PD6(MUX15), PD7(MUX15), PD8(MUX15), PD9(MUX15), PD10(MUX15), PD11(MUX15), PD12(MUX15), PD13(MUX15), PD14(MUX15), PD15(MUX15), PE0(MUX15), PE1(MUX15), PE2(MUX15), PE3(MUX15), PE4(MUX15), PE5(MUX15), PE6(MUX15), PE7(MUX15), PE8(MUX15), PE9(MUX15), PE10(MUX15), PE11(MUX15), PE12(MUX15), PE13(MUX15), PE14(MUX15), PE15(MUX15), PF0(MUX15), PF1(MUX15), PF2(MUX15), PF3(MUX15), PF4(MUX15), PF5(MUX15), PF6(MUX15), PF7(MUX15), PF8(MUX15), PF9(MUX15), PF10(MUX15), PF11(MUX15), PF12(MUX15), PF13(MUX15), PF14(MUX15), PF15(MUX15), PG0(MUX15), PG1(MUX15), PG2(MUX15), PG3(MUX15), PG4(MUX15), PG5(MUX15), PG6(MUX15), PG7(MUX15), PG8(MUX15), PG9(MUX15), PG10(MUX15), PG11(MUX15), PG12(MUX15), PG13(MUX15), PG14(MUX15), PG15(MUX15), PH0(MUX15), PH1(MUX15), PH2(MUX15), PH3(MUX15)
H1                                       PC12(MUX3)
I2C1_SCL                                 PA9(MUX8), PB6(MUX4), PB8(MUX4), PC6(MUX4), PH1(MUX4)
I2C1_SDA                                 PA10(MUX8), PB7(MUX4), PB9(MUX4), PC7(MUX4), PH0(MUX4)
I2C1_SMBA                                PB5(MUX4), PC5(MUX4)
I2C2_SCL                                 PA0(MUX4), PA11(MUX4), PB10(MUX4), PD12(MUX4), PF1(MUX4), PH2(MUX4)
I2C2_SDA                                 PA1(MUX4), PA12(MUX4), PB3(MUX4), PB9(MUX7), PB11(MUX4), PC12(MUX4), PD13(MUX4), PF0(MUX4), PH3(MUX4)
I2C2_SMBA                                PB12(MUX4), PD11(MUX4), PF2(MUX4)
I2C3_SCL                                 PA8(MUX4), PB13(MUX7), PB15(MUX4), PC0(MUX4), PD14(MUX4), PF14(MUX4)
I2C3_SDA                                 PB4(MUX4), PB14(MUX4), PC1(MUX4), PC9(MUX4), PD15(MUX4), PF15(MUX4)
I2C3_SMBA                                PA9(MUX4), PB2(MUX4), PB13(MUX4), PF13(MUX4)
I2S1_CK                                  PA5(MUX5), PB3(MUX5), PE13(MUX4)
I2S1_MCK                                 PB0(MUX5), PB6(MUX5), PC4(MUX5)
I2S1_SD                                  PA7(MUX5), PB5(MUX5)
I2S1_SDE                                 PE15(MUX4)
I2S1_SDEXT                               PG1(MUX5)
I2S1_WS                                  PA4(MUX5), PA15(MUX5), PE12(MUX4)
I2S2_CK                                  PA9(MUX5), PB1(MUX6), PB10(MUX5), PB13(MUX5), PC7(MUX5), PD1(MUX6), PD3(MUX5)
I2S2_MCK                                 PA3(MUX5), PA6(MUX6), PC6(MUX5)
I2S2_SD                                  PA10(MUX5), PB15(MUX5)
I2S2_SDEXT                               PB14(MUX6), PC1(MUX7), PC2(MUX6), PC3(MUX5), PD4(MUX6)
I2S2_WS                                  PA11(MUX5), PB9(MUX5), PB12(MUX5), PD0(MUX7), PD1(MUX7)
I2S3_CK                                  PB3(MUX6), PB12(MUX7), PC10(MUX6)
I2S3_MCK                                 PB10(MUX6), PC7(MUX6)
I2S3_SD                                  PA14(MUX6), PB0(MUX7), PB2(MUX7), PB5(MUX6)
I2S3_SDEXT                               PB4(MUX7), PC1(MUX5), PC11(MUX5), PC12(MUX6), PD0(MUX6), PD6(MUX5)
I2S3_WS                                  PA4(MUX6), PA15(MUX6)
I2S4_CK                                  PB7(MUX6), PB13(MUX6), PE2(MUX5), PE12(MUX5), PG11(MUX6)
I2S4_MCK                                 PA10(MUX6), PC8(MUX5)
I2S4_SD                                  PA1(MUX5), PB9(MUX6)
I2S4_SDEXT                               PE6(MUX5), PE14(MUX5), PG13(MUX6)
I2S4_WS                                  PB6(MUX6), PB12(MUX6), PE4(MUX5), PE11(MUX5), PG14(MUX6)
IR_OUT                                   PA13(MUX1), PB9(MUX0)
JTCK                                     PA14(MUX0)
JTDI                                     PA15(MUX0)
JTDO                                     PB3(MUX0)
JTMS                                     PA13(MUX0)
OTG1_D+                                  PA12(MUX10)
OTG1_D-                                  PA11(MUX10)
OTG1_ID                                  PA10(MUX10)
OTG1_OE                                  PA13(MUX10)
OTG1_SOF                                 PA8(MUX10)
OTG1_VBU                                 PA9(MUX10)
OTG2_D+                                  PB15(MUX12)
OTG2_D-                                  PB14(MUX12)
OTG2_ID                                  PB12(MUX12)
OTG2_OE                                  PC9(MUX11)
OTG2_SO                                  PA4(MUX12)
OTG2_VB                                  PB13(MUX12)
QSPI1_C                                  PB6(MUX10), PB9(MUX10)
QSPI1_CS                                 PB10(MUX9), PC11(MUX9), PG6(MUX10)
QSPI1_IO                                 PB0(MUX10), PB3(MUX10), PB10(MUX10), PB11(MUX10)
QSPI1_IO0                                PA6(MUX10), PC9(MUX9), PD11(MUX9), PF8(MUX10), PH2(MUX10)
QSPI1_IO1                                PA7(MUX10), PC10(MUX9), PD12(MUX9), PH3(MUX10)
QSPI1_IO2                                PA15(MUX10), PC4(MUX10), PC8(MUX9), PE2(MUX9), PF7(MUX9), PG9(MUX9)
QSPI1_IO3                                PA1(MUX9), PC5(MUX10), PD13(MUX9), PF6(MUX9), PG14(MUX9)
QSPI1_MOSI_IO1                           PF9(MUX10)
QSPI1_SCK                                PB1(MUX9), PB2(MUX9), PD3(MUX9), PF10(MUX9)
QSPI2_C                                  PB8(MUX10)
QSPI2_CS                                 PG8(MUX5)
QSPI2_IO0                                PB0(MUX9), PE7(MUX10), PG14(MUX5)
QSPI2_IO1                                PA15(MUX9), PB7(MUX9), PC3(MUX9), PE8(MUX10), PG12(MUX5)
QSPI2_IO2                                PA5(MUX9), PE9(MUX10), PG10(MUX5)
QSPI2_IO3                                PA3(MUX9), PE10(MUX10), PG11(MUX5)
QSPI2_S                                  PB1(MUX10)
QSPI2_SCK                                PG13(MUX5)
SDIO1_C                                  PA6(MUX12), PB2(MUX12)
SDIO1_CK                                 PB15(MUX13), PC12(MUX12)
SDIO1_CMD                                PD2(MUX12)
SDIO1_D0                                 PB4(MUX12), PB6(MUX14), PB7(MUX14), PC8(MUX12)
SDIO1_D1                                 PA8(MUX12), PB0(MUX12), PC9(MUX12)
SDIO1_D2                                 PA9(MUX12), PB1(MUX12), PC10(MUX12)
SDIO1_D3                                 PB5(MUX14), PC11(MUX12)
SDIO1_D4                                 PB8(MUX12)
SDIO1_D5                                 PB9(MUX12)
SDIO1_D6                                 PB14(MUX13), PC6(MUX12)
SDIO1_D7                                 PB10(MUX12), PC7(MUX12)
SDIO2_CK                                 PA2(MUX10), PC4(MUX13)
SDIO2_CMD                                PA3(MUX10), PC5(MUX13)
SDIO2_D0                                 PA4(MUX11), PC0(MUX10)
SDIO2_D1                                 PA5(MUX11), PC1(MUX10)
SDIO2_D2                                 PA6(MUX11), PC2(MUX10)
SDIO2_D3                                 PA7(MUX13), PC3(MUX10)
SDIO2_D4                                 PA4(MUX10)
SDIO2_D5                                 PA5(MUX10)
SDIO2_D6                                 PA6(MUX14)
SDIO2_D7                                 PA7(MUX14)
SPI1_CS                                  PA4(MUX5), PA15(MUX5), PE12(MUX4)
SPI1_MIS                                 PE14(MUX4)
SPI1_MISO                                PA6(MUX5), PB4(MUX5), PG0(MUX5)
SPI1_MOS                                 PE15(MUX4)
SPI1_MOSI                                PA7(MUX5), PB5(MUX5), PG1(MUX5)
SPI1_SCK                                 PA5(MUX5), PB3(MUX5), PE13(MUX4)
SPI2_CS                                  PA11(MUX5), PB9(MUX5), PB12(MUX5), PD0(MUX7), PD1(MUX7)
SPI2_MISO                                PA12(MUX5), PB14(MUX5), PC2(MUX5), PD3(MUX6)
SPI2_MOSI                                PA10(MUX5), PB15(MUX5), PC1(MUX7), PC3(MUX5), PD4(MUX6)
SPI2_SCK                                 PA9(MUX5), PB1(MUX6), PB10(MUX5), PB13(MUX5), PC7(MUX5), PD1(MUX6), PD3(MUX5)
SPI3_CS                                  PA4(MUX6), PA15(MUX6)
SPI3_MISO                                PA13(MUX6), PB4(MUX6), PC11(MUX6)
SPI3_MOSI                                PA14(MUX6), PB0(MUX7), PB2(MUX7), PB5(MUX6), PC1(MUX5), PC12(MUX6), PD0(MUX6), PD6(MUX5)
SPI3_SCK                                 PB3(MUX6), PB12(MUX7), PC10(MUX6)
SPI4_CS                                  PB6(MUX6), PB12(MUX6), PE4(MUX5), PE11(MUX5), PG14(MUX6)
SPI4_MISO                                PA11(MUX6), PB8(MUX6), PD0(MUX5), PE5(MUX5), PE13(MUX5), PG12(MUX6)
SPI4_MOSI                                PA1(MUX5), PB9(MUX6), PE6(MUX5), PE14(MUX5), PG13(MUX6)
SPI4_SCK                                 PB7(MUX6), PB13(MUX6), PE2(MUX5), PE12(MUX5), PG11(MUX6)
SWCLK                                    PA14(MUX0)
SWDIO                                    PA13(MUX0)
SWO                                      PB3(MUX0)
TMR10_CH1                                PB8(MUX3), PF6(MUX3)
TMR11_C                                  PC12(MUX3)
TMR11_CH1                                PB9(MUX3), PF7(MUX3)
TMR12_CH1                                PB14(MUX9)
TMR12_CH2                                PB15(MUX9)
TMR13_CH1                                PA6(MUX9), PF8(MUX9)
TMR14_CH1                                PA7(MUX9), PF9(MUX9)
TMR1_BRK                                 PA6(MUX1), PB12(MUX1), PE15(MUX1)
TMR1_CH1                                 PA8(MUX1), PE9(MUX1)
TMR1_CH1C                                PA7(MUX1), PB13(MUX1), PE8(MUX1)
TMR1_CH1N                                PA7(MUX1), PB13(MUX1), PE8(MUX1)
TMR1_CH2                                 PA9(MUX1), PE11(MUX1)
TMR1_CH2C                                PB0(MUX1), PB14(MUX1), PE1(MUX1), PE10(MUX1)
TMR1_CH2N                                PB0(MUX1), PB14(MUX1), PE10(MUX1)
TMR1_CH3                                 PA10(MUX1), PE13(MUX1)
TMR1_CH3C                                PB1(MUX1), PB15(MUX1), PE12(MUX1)
TMR1_CH3N                                PB1(MUX1), PB15(MUX1), PE12(MUX1)
TMR1_CH4                                 PA11(MUX1), PE14(MUX1)
TMR1_EXT                                 PA12(MUX1), PE7(MUX1), PF10(MUX1)
TMR20_BRK                                PF7(MUX2), PF9(MUX2), PG3(MUX2)
TMR20_CH1                                PB2(MUX2), PE2(MUX6), PF12(MUX2)
TMR20_CH1C                               PE4(MUX6), PF4(MUX2), PG0(MUX2)
TMR20_CH1N                               PE4(MUX6), PF4(MUX2), PG0(MUX2)
TMR20_CH2                                PC2(MUX2), PE3(MUX6), PF13(MUX2)
TMR20_CH2C                               PE5(MUX6), PF5(MUX2), PG1(MUX2)
TMR20_CH2N                               PE5(MUX6), PF5(MUX2), PG1(MUX2)
TMR20_CH3                                PC8(MUX6), PF2(MUX2), PF14(MUX2)
TMR20_CH3C                               PE6(MUX6), PG2(MUX2)
TMR20_CH3N                               PE6(MUX6), PG2(MUX2)
TMR20_CH4                                PE1(MUX6), PF3(MUX2), PF6(MUX2), PF15(MUX2)
TMR20_EXT                                PE0(MUX6), PF11(MUX2), PG5(MUX2)
TMR2_CH1                                 PA0(MUX1), PA5(MUX1), PA15(MUX1), PB8(MUX1)
TMR2_CH2                                 PA1(MUX1), PB3(MUX1), PB9(MUX1)
TMR2_CH3                                 PA2(MUX1), PB10(MUX1)
TMR2_CH4                                 PA3(MUX1), PB2(MUX1), PB11(MUX1)
TMR2_EXT                                 PA0(MUX1), PA5(MUX1), PA15(MUX1), PB8(MUX1)
TMR3_CH                                  PE3(MUX2), PE4(MUX2), PE5(MUX2), PE6(MUX2)
TMR3_CH1                                 PA6(MUX2), PB4(MUX2), PC6(MUX2)
TMR3_CH2                                 PA7(MUX2), PB5(MUX2), PC7(MUX2)
TMR3_CH3                                 PB0(MUX2), PC8(MUX2)
TMR3_CH4                                 PB1(MUX2), PC9(MUX2)
TMR3_EX                                  PE2(MUX2)
TMR3_EXT                                 PD2(MUX2)
TMR4_CH1                                 PB6(MUX2), PD12(MUX2)
TMR4_CH2                                 PB7(MUX2), PD13(MUX2)
TMR4_CH3                                 PB8(MUX2), PD14(MUX2)
TMR4_CH4                                 PB9(MUX2), PD15(MUX2)
TMR4_EX                                  PE0(MUX2)
TMR5_CH1                                 PA0(MUX2), PB12(MUX2), PH2(MUX2)
TMR5_CH2                                 PA1(MUX2), PC10(MUX2), PH3(MUX2)
TMR5_CH3                                 PA2(MUX2), PC11(MUX2)
TMR5_CH4                                 PA3(MUX2), PB11(MUX2), PF10(MUX2)
TMR8_BRK                                 PA6(MUX3), PB7(MUX3), PF12(MUX3)
TMR8_CH                                  PC6(MUX3), PC7(MUX3), PC8(MUX3), PC9(MUX3)
TMR8_CH1C                                PA5(MUX3), PA7(MUX3)
TMR8_CH1N                                PA5(MUX3), PA7(MUX3)
TMR8_CH2C                                PB0(MUX3), PB14(MUX3)
TMR8_CH2N                                PB0(MUX3), PB14(MUX3)
TMR8_CH3C                                PB1(MUX3), PB15(MUX3)
TMR8_CH3N                                PB1(MUX3), PB15(MUX3)
TMR8_EXT                                 PA0(MUX3), PF11(MUX3)
TMR9_CH                                  PC4(MUX3), PC5(MUX3), PE5(MUX3), PE6(MUX3)
TMR9_CH1                                 PA2(MUX3)
TMR9_CH2                                 PA3(MUX3)
UART4_RX                                 PA1(MUX8), PC11(MUX8), PE9(MUX7), PH2(MUX8)
UART4_TX                                 PA0(MUX8), PC10(MUX8), PE8(MUX7), PH3(MUX8)
UART5_RX                                 PB5(MUX8), PB8(MUX8), PD2(MUX8), PE11(MUX8)
UART5_TX                                 PB6(MUX8), PB9(MUX8), PC12(MUX8), PE10(MUX8)
UART7_RX                                 PB3(MUX8), PC1(MUX8), PE7(MUX8), PF6(MUX8)
UART7_TX                                 PB4(MUX8), PC0(MUX8), PE8(MUX8), PF7(MUX8)
UART8_RX                                 PC3(MUX8), PC9(MUX7), PD14(MUX8), PE0(MUX8)
UART8_TX                                 PC2(MUX8), PC8(MUX7), PD13(MUX8), PE1(MUX8)
USART1_CK                                PA8(MUX7), PB5(MUX7)
USART1_CTS                               PA11(MUX7)
USART1_RTS_D                             PA12(MUX7)
USART1_RX                                PA10(MUX7), PB3(MUX7), PB7(MUX7)
USART1_TX                                PA9(MUX7), PA15(MUX7), PB6(MUX7)
USART2_CK                                PA4(MUX7), PD7(MUX7)
USART2_CTS                               PA0(MUX7), PD3(MUX7)
USART2_RTS_D                             PA1(MUX7)
USART2_RTS_DE                            PD4(MUX7)
USART2_RX                                PA3(MUX7), PA15(MUX8), PB0(MUX6), PD6(MUX7)
USART2_TX                                PA2(MUX7), PA8(MUX8), PA14(MUX8), PD5(MUX7)
USART3_CK                                PB0(MUX8), PB12(MUX8), PC12(MUX7), PD10(MUX7)
USART3_CTS                               PA6(MUX7), PB13(MUX8), PD11(MUX7)
USART3_RTS_DE                            PB1(MUX8), PB14(MUX7), PD2(MUX7), PD12(MUX7)
USART3_RX                                PB11(MUX7), PC5(MUX7), PC11(MUX7), PD9(MUX7)
USART3_TX                                PB10(MUX7), PC4(MUX7), PC10(MUX7), PD8(MUX7)
USART6_CK                                PC8(MUX8), PG7(MUX8)
USART6_CTS                               PG13(MUX8), PG15(MUX8)
USART6_RTS_DE                            PG8(MUX8), PG12(MUX8)
USART6_RX                                PA5(MUX8), PA12(MUX8), PC7(MUX8), PG9(MUX8)
USART6_TX                                PA4(MUX8), PA11(MUX8), PC6(MUX8), PG14(MUX8)
XMC_A0                                   PC3(MUX14), PC6(MUX10), PF0(MUX12)
XMC_A1                                   PC7(MUX10), PF1(MUX12)
XMC_A10                                  PD5(MUX10), PG0(MUX12)
XMC_A11                                  PD6(MUX10), PG1(MUX12)
XMC_A12                                  PD7(MUX10), PG2(MUX12)
XMC_A13                                  PG3(MUX12)
XMC_A14                                  PD11(MUX10), PG4(MUX12)
XMC_A15                                  PD12(MUX10), PG5(MUX12)
XMC_A16                                  PD11(MUX12)
XMC_A17                                  PD12(MUX12)
XMC_A18                                  PD13(MUX12)
XMC_A19                                  PE3(MUX12)
XMC_A2                                   PC8(MUX10), PF2(MUX12)
XMC_A20                                  PE4(MUX12)
XMC_A21                                  PE5(MUX12)
XMC_A22                                  PE6(MUX12)
XMC_A23                                  PE2(MUX12)
XMC_A24                                  PG13(MUX12)
XMC_A25                                  PG14(MUX12)
XMC_A3                                   PC9(MUX10), PF3(MUX12)
XMC_A4                                   PA8(MUX14), PF4(MUX12)
XMC_A5                                   PD0(MUX10), PF5(MUX12)
XMC_A6                                   PD1(MUX10), PF12(MUX12)
XMC_A7                                   PD2(MUX10), PF13(MUX12)
XMC_A8                                   PD3(MUX10), PF14(MUX12)
XMC_A9                                   PD4(MUX10), PF15(MUX12)
XMC_CD                                   PF9(MUX12)
XMC_CLK                                  PD3(MUX12)
XMC_D0                                   PB14(MUX14), PD14(MUX12)
XMC_D1                                   PC6(MUX14), PD15(MUX12)
XMC_D10                                  PE13(MUX12)
XMC_D11                                  PE14(MUX12)
XMC_D12                                  PE15(MUX12)
XMC_D13                                  PB12(MUX14), PD8(MUX12)
XMC_D14                                  PD9(MUX12)
XMC_D15                                  PD10(MUX12)
XMC_D2                                   PC11(MUX14), PD0(MUX12)
XMC_D3                                   PC12(MUX14), PD1(MUX12)
XMC_D4                                   PA2(MUX14), PE7(MUX12)
XMC_D5                                   PA3(MUX14), PE8(MUX12)
XMC_D6                                   PA4(MUX14), PE9(MUX12)
XMC_D7                                   PA5(MUX14), PE10(MUX12)
XMC_D8                                   PE11(MUX12)
XMC_D9                                   PE12(MUX12)
XMC_INT2                                 PG6(MUX12)
XMC_INT3                                 PG7(MUX12)
XMC_INTR                                 PF10(MUX12)
XMC_LB/XM                                PE0(MUX12)
XMC_NA                                   PB7(MUX12)
XMC_NCE                                  PA15(MUX12)
XMC_NCE2                                 PD7(MUX12)
XMC_NCE3                                 PG9(MUX12)
XMC_NCE4_1                               PG10(MUX12)
XMC_NCE4_2                               PG11(MUX12)
XMC_NE1                                  PD7(MUX12)
XMC_NE2                                  PA15(MUX12), PG9(MUX12)
XMC_NE3                                  PG10(MUX12)
XMC_NE4                                  PC4(MUX14), PG12(MUX12)
XMC_NIORD                                PF6(MUX12)
XMC_NIOWR                                PF8(MUX12)
XMC_NOE                                  PB10(MUX14), PC5(MUX14), PD4(MUX12)
XMC_NREG                                 PF7(MUX12)
XMC_NWAIT                                PD6(MUX12)
XMC_NWE                                  PC2(MUX14), PD2(MUX14), PD5(MUX12)
XMC_SD                                   PB5(MUX12), PB6(MUX12)
XMC_SDBA0                                PD11(MUX10), PG4(MUX12)
XMC_SDBA1                                PD12(MUX10), PG5(MUX12)
XMC_SDCKE0                               PC3(MUX12), PC5(MUX12)
XMC_SDCLK                                PG8(MUX12)
XMC_SDCS0                                PC2(MUX12), PC4(MUX12)
XMC_SDN                                  PA7(MUX12)
XMC_SDNCAS                               PE2(MUX10), PG15(MUX12)
XMC_SDNRAS                               PE6(MUX10), PF11(MUX12)
XMC_SDNWE                                PC0(MUX12)
XMC_SD_CLK                               PD13(MUX10)
XMC_UB/XM                                PE1(MUX12)
